,State,District,Year,Season,Crop,Area,Production,Avg_Temperature,rainfall,Avg_windspeed,Avg_pressure,Avg_humidity,Avg_uvindex,sunhours,
46,Andhra Pradesh,GUNTUR,2014,Whole Year ,Rice,285302,1111932,30.83,,11.21,1008.28,61.5,7.25,,
47,Andhra Pradesh,KADAPA,2010,Kharif     ,Rice,53345,80657,28.25,167.19,9.87,1006.07,69,6,1072,
48,Andhra Pradesh,KADAPA,2010,Rabi       ,Rice,17037,48896,25.16,117.09,7.88,1010.21,68.83,6.16,373.5,
49,Andhra Pradesh,KADAPA,2011,Kharif     ,Rice,47290,141161,28.75,198.85,15.52,1006.35,61.5,6.25,1066.5,
50,Andhra Pradesh,KADAPA,2011,Rabi       ,Rice,6606,17499,25.5,86.36,8.6,1011.11,63.5,6.16,391.5,
51,Andhra Pradesh,KADAPA,2012,Kharif     ,Rice,24147,61551,29.25,83.55,14.57,1006.47,58.5,6.25,1073,
52,Andhra Pradesh,KADAPA,2012,Rabi       ,Rice,6601,19249,25.83,50.66,10.11,1011.7,62.83,6.66,414.5,
53,Andhra Pradesh,KADAPA,2013,Kharif     ,Rice,51753,148842,30.25,241.96,13.92,1005.85,64,7,980.5,
54,Andhra Pradesh,KADAPA,2013,Rabi       ,Rice,10959,29447,27.16,128.07,9.28,1017.3,65,6.5,376,
55,Andhra Pradesh,KADAPA,2014,Kharif     ,Rice,42124,155648,30.25,113.21,14.83,1006.97,59.25,6.75,1069,
56,Andhra Pradesh,KADAPA,2014,Rabi       ,Rice,3761,10189,26.33,29.91,9.96,1012.66,61.33,6.66,420,
57,Andhra Pradesh,KADAPA,2014,Whole Year ,Rice,45885,165837,29.58,,12.14,1009.01,55.41,7.16,,
58,Andhra Pradesh,KRISHNA,2010,Kharif     ,Rice,260350,722978,29,310.46,12.82,1004.52,74.5,6,1190,
59,Andhra Pradesh,KRISHNA,2010,Rabi       ,Rice,94991,367710,26.5,151.37,12.95,1010.08,73,6.5,446,
60,Andhra Pradesh,KRISHNA,2011,Kharif     ,Rice,262826,980105,29.5,324.51,13.9,1004.72,71.75,6.25,1132.5,
61,Andhra Pradesh,KRISHNA,2011,Rabi       ,Rice,9203,31437,26.5,78.67,12.85,1011.11,71.33,6.5,495,
62,Andhra Pradesh,KRISHNA,2012,Kharif     ,Rice,253166,908360,29.5,226.81,14.57,1004.85,68,6.25,1151.5,
63,Andhra Pradesh,KRISHNA,2012,Rabi       ,Rice,11365,42244,26.83,86.95,13.23,1011.71,69.33,6.83,470,
64,Andhra Pradesh,KRISHNA,2013,Kharif     ,Rice,264371,773285,30.5,230.23,14.22,1004,71.75,6.25,1122,
65,Andhra Pradesh,KRISHNA,2013,Rabi       ,Rice,98951,402236,27.66,133.09,13.56,1011.65,70.66,7,440.5,
66,Andhra Pradesh,KRISHNA,2014,Kharif     ,Rice,235212,788901,30.75,141.86,14.8,1005.22,66.25,6.75,1224,
67,Andhra Pradesh,KRISHNA,2014,Rabi       ,Rice,52830,209894,28,39.29,12.4,1012.63,67.18,7.16,488,
68,Andhra Pradesh,KRISHNA,2014,Whole Year ,Rice,288042,998795,30,,14.82,1008.24,59.75,7.16,,
